task,alpha,r,A,loss,bloch_mse,mse_x,mse_y,mse_z,latent_norm,eta
0,0.42472407130841755,0.5753571532049581,0.04486410319805145,0.014302737079560757,5.1409766456345096e-05,6.273901090025902e-05,6.430799658119213e-06,8.505950245307758e-05,,"[-0.01133602  0.0089184 ]"
1,0.6391963650868431,0.3993292420985183,0.056191883981227875,0.03772466257214546,3.22370178764686e-05,1.324955064774258e-05,4.1528915062372107e-07,8.304621587740257e-05,,"[-0.01994905  0.02381458]"
2,0.29361118426546196,0.17799726016810133,0.002647436922416091,0.21031035482883453,0.00030062926816754043,5.572072041104548e-05,0.0007700727437622845,7.609436579514295e-05,,"[-0.02106757  0.01938945]"
