task,alpha,r,A,loss,bloch_mse,mse_x,mse_y,mse_z,latent_norm,eta
23,0.38702664565364664,0.3600340105889054,0.01718837022781372,0.043520309031009674,0.008817126043140888,0.001031861756928265,0.0010176593204960227,0.02440185472369194,,"[-0.12389715 -0.23460951]"
24,0.5280261676059679,0.19242722776276353,0.009955277666449547,0.1321398764848709,0.022937361150979996,0.0012015649117529392,0.001185174216516316,0.06642533838748932,,"[-0.12051662 -0.23714453]"
25,0.7817507766587353,0.48756641168055725,0.11737658828496933,0.11678624153137207,0.013836918398737907,0.0021136957220733166,0.0020188267808407545,0.037378229200839996,,"[-0.09180638 -0.21782146]"
26,0.7636993649385135,0.5474136752138244,0.13447630405426025,0.11980582028627396,0.019264815375208855,0.002242471557110548,0.002323608845472336,0.053228359669446945,,"[-0.08735674 -0.21171841]"
27,0.5587399872866512,0.5609371175115584,0.0747201144695282,0.017055822536349297,0.0025311512872576714,0.0004150274908170104,0.0004155291826464236,0.006762896664440632,,"[-0.09103052 -0.21611434]"
28,0.2530955012311517,0.1979914312095726,0.002416363451629877,0.2113906592130661,0.03204324096441269,0.002320747124031186,0.0022630454041063786,0.0915459394454956,,"[-0.13130647 -0.2432232 ]"
29,0.22713637334632286,0.2626651653816322,0.003329687053337693,0.19205011427402496,0.03263907879590988,0.003050050465390086,0.0029493579640984535,0.09191782772541046,,"[-0.1292862  -0.23940979]"
30,0.43320637381368926,0.23567451588694796,0.009875047951936722,0.10372652113437653,0.019430482760071754,0.0014129022601991892,0.0014762389473617077,0.055402301251888275,,"[-0.11632534 -0.23447584]"
31,0.6972425054911577,0.2783766633467947,0.034963805228471756,0.0920948013663292,0.00037164322566241026,5.102973955217749e-05,5.449185846373439e-05,0.0010094080353155732,,"[-0.10376541 -0.22436811]"
32,0.3685607058124285,0.37134804157912427,0.016461769118905067,0.04164683073759079,0.006202854681760073,0.0006380267441272736,0.000672298891004175,0.01729823462665081,,"[-0.12037148 -0.23637879]"
33,0.2845545349848576,0.5010984903770198,0.01625119522213936,0.08903823792934418,0.02002446912229061,0.0014773017028346658,0.0014620969304814935,0.057134002447128296,,"[-0.12224037 -0.2367928 ]"
34,0.24473038620786253,0.5934434683002586,0.015599171631038189,0.142501100897789,0.028028031811118126,0.001532882102765143,0.0015953810652717948,0.08095582574605942,,"[-0.11764415 -0.23147783]"
35,0.6633468615779945,0.1993578407670862,0.01681983657181263,0.13722537457942963,0.009678801521658897,0.00033297858317382634,0.00032889863359741867,0.028374522924423218,,"[-0.10237307 -0.22590482]"
